category,subcategory,dependency,location,purpose,risk,citations
DOM/Structure,Message fallback selector,"[data-testid*='message'], [data-testid*='conversation-turn']",src/utils/DOMUtils-Core.js,Fallback message discovery,High,"src/utils/DOMUtils-Core.js:L81-L86"
DOM/Structure,Loose fallback selector,"div[class*='group'], div[class*='message']",src/utils/DOMUtils-Core.js,Last-resort message discovery,High,"src/utils/DOMUtils-Core.js:L89-L95"
DOM/Structure,Messages container selector,[data-testid='messages'],src/utils/DOMReadyChecker.js,Conversation readiness check,High,"src/utils/DOMReadyChecker.js:L27-L31;L171-L176"
DOM/Structure,Input exclusion selectors,"[data-testid='chat-input'], [data-testid='prompt-input']",src/utils/DOMUtils-Core.js;src/core/MessageHub.js;src/modules/EditHistoryModule/EditDraftCaptureService.js,Exclude prompt composer from message/edit detection,High,"src/utils/DOMUtils-Core.js:L120-L125;src/core/MessageHub.js:L328-L329;src/modules/EditHistoryModule/EditDraftCaptureService.js:L309-L310"
DOM/Structure,User message selector,[data-testid='user-message'],src/utils/DOMUtils-Core.js;src/utils/DOMUtils-Parsing.js;src/core/MessageHub.js;src/utils/MarkerUtils.js,Identify user turns and parent relationships,High,"src/utils/DOMUtils-Core.js:L181-L186;src/utils/DOMUtils-Parsing.js:L83-L86;src/core/MessageHub.js:L305-L306;src/utils/MarkerUtils.js:L134-L150"
DOM/Structure,Sidebar exclusion,"closest('nav') and [aria-label='Sidebar']",src/utils/DOMUtils-Core.js,Filter out non-chat UI from message list,Medium-High,"src/utils/DOMUtils-Core.js:L99-L107"
Edit History,Version container class,.inline-flex.items-center.gap-1 > span,src/utils/DOMUtils-Parsing.js;src/core/MessageHub.js;src/modules/EditHistoryModule/EditDraftCaptureService.js,Extract version counter from Claude UI,High,"src/utils/DOMUtils-Parsing.js:L20-L27;src/core/MessageHub.js:L297-L303;src/modules/EditHistoryModule/EditDraftCaptureService.js:L68-L73"
Edit History,Version text pattern,regex ^\d+\s*/\s*\d+$,src/utils/DOMUtils-Parsing.js;src/core/MessageHub.js;src/modules/EditHistoryModule/EditDraftCaptureService.js,Validate version format and edit-history presence,Medium-High,"src/utils/DOMUtils-Parsing.js:L17-L18;src/core/MessageHub.js:L295-L296;src/modules/EditHistoryModule/EditDraftCaptureService.js:L66-L67"
Edit History,Retry button signature,"button svg path[d*='M10.3857']",src/utils/DOMUtils-Parsing.js,Locate retry/edit control,Very High,"src/utils/DOMUtils-Parsing.js:L104-L108"
Edit History,Edit button selector,button[aria-label='Edit'],src/modules/EditHistoryModule/EditDraftCaptureService.js,Prime draft capture from edit click,High,"src/modules/EditHistoryModule/EditDraftCaptureService.js:L225-L231"
Edit History,Edit form shape,"form containing textarea + submit/cancel",src/core/MessageHub.js;src/modules/EditHistoryModule/EditDraftCaptureService.js,Detect active edit session and submission flow,Medium-High,"src/core/MessageHub.js:L332-L340;src/modules/EditHistoryModule/EditDraftCaptureService.js:L331-L337"
Sidebar/Action Bar,Sidebar root selector,nav[aria-label='Sidebar'],src/modules/BookmarkModule/BookmarkSidebar.js,Inject bookmarks entry in native sidebar,High,"src/modules/BookmarkModule/BookmarkSidebar.js:L41-L43"
Sidebar/Action Bar,Sidebar nav item selector,a[data-dd-action-name='sidebar-nav-item'],src/modules/BookmarkModule/BookmarkSidebar.js,Clone native sidebar item structure,High,"src/modules/BookmarkModule/BookmarkSidebar.js:L97-L107"
Sidebar/Action Bar,Sidebar container class chain,".flex.flex-col.px-2.pt-4.gap-px and variants",src/modules/BookmarkModule/BookmarkSidebar.js,Find insertion container robustly,Very High,"src/modules/BookmarkModule/BookmarkSidebar.js:L52-L57"
Sidebar/Action Bar,Action bar cleanup selectors,"[data-testid='action-bar-copy'], button[aria-label='Copy'], feedback buttons",src/modules/BookmarkModule.js,Remove host action controls from saved HTML,High,"src/modules/BookmarkModule.js:L283-L293"
Content/Sender,Claude message class,.font-claude-message,src/utils/MarkerUtils.js;src/modules/BookmarkModule.js;src/modules/BookmarkModule/BookmarkManagerModal.js,Capture/parse assistant message content,High,"src/utils/MarkerUtils.js:L34-L40;src/modules/BookmarkModule.js:L275-L281;src/modules/BookmarkModule/BookmarkManagerModal.js:L259-L262"
Content/Sender,User message class (commented/snippet),.font-user-message,src/modules/BookmarkModule.js,User sender detection context,Medium,"src/modules/BookmarkModule.js:L304-L306"
Content/Sender,Avatar class fallback,.bg-text-200.text-bg-100.rounded-full,src/modules/BookmarkModule.js,Fallback sender detection,Very High,"src/modules/BookmarkModule.js:L308-L313"
Content/Sender,Text cleanup class/aria dependencies,".font-mono.text-xs .opacity-0 .sr-only [aria-label='Retry'] etc",src/utils/MarkerUtils.js,Stabilize message signatures by stripping UI noise,High,"src/utils/MarkerUtils.js:L53-L62"
Theme/Class Contract,Native class policy,"'ONLY Claude native classes' usage",src/core/BasePanel.js;src/components/primitives/Button.js,Automatic adaptation via Claude design tokens,Structural,"src/core/BasePanel.js:L1-L5;src/components/primitives/Button.js:L1-L4"
Theme/Class Contract,Shared class presets,bg-bg-* text-text-* border-border-* accent-main-*,src/utils/ClassNames.js,Centralized native class contract used across modules,High,"src/utils/ClassNames.js:L22-L56;L72-L119;L195-L204"
Theme/Class Contract,Native theme button classes,"bg-bg-000/80 hover:bg-bg-000 border-border-300 ...",src/config/themes.js;src/core/FixedButtonMixin.js,Keep floating controls visually native in both themes,High,"src/config/themes.js:L10-L15;src/core/FixedButtonMixin.js:L233-L235"
Theme/Class Contract,Claude accent CSS variable,"hsl(var(--accent-main-000)/var(--tw-bg-opacity))",src/config/themes.js,Bind accent color to host token variable,High,"src/config/themes.js:L14-L15"
Theme/Class Contract,BranchMap theme signal,document.documentElement[data-mode='dark'],src/modules/EditHistoryModule/BranchMapRenderer.js,Detect dark mode directly from host attribute,Medium-High,"src/modules/EditHistoryModule/BranchMapRenderer.js:L53-L66"
Theme/Class Contract,Marker button native classes,"bg-bg-100 hover:bg-bg-200 border-border-300",src/modules/EmojiMarkerModule/MarkerButton.js,Marker UI auto-adapts to Claude light/dark,High,"src/modules/EmojiMarkerModule/MarkerButton.js:L73-L83"
Theme Bridge,Injected theme properties,--claude-productivity-* CSS custom properties,src/managers/ThemeManager.js;src/managers/theme/themeCss.js,Internal theming layer on top of host tokens,Medium,"src/managers/ThemeManager.js:L26-L35;src/managers/theme/themeCss.js:L51-L68"
Theme Bridge,Accent compatibility layer,".bg-accent-main-100 .text-accent-main-100 .border-accent-main-100 etc",src/styles/content-core.css,Repo-owned accent mapping for remaining utility usage,Medium,"src/styles/content-core.css:L21-L40;L62-L79"
Theme Bridge,Dark neutral media rule,@media (prefers-color-scheme: dark),src/managers/theme/themeCss.js,Adjust neutral color in dark scheme,Low-Medium,"src/managers/theme/themeCss.js:L70-L74"
Popup Theme (Non-host),Popup theme variables,--bg-* --text-* --accent*,popup/popup.css,Popup styling is independent from Claude page classes,Low,"popup/popup.css:L8-L24"
Popup Theme (Non-host),Popup dark mode media,@media (prefers-color-scheme: dark),popup/popup.css,System-level light/dark adaptation in popup,Low,"popup/popup.css:L56-L77"
